date,Bundesland,pubHoliday
2020-02-23,Nordrhein-Westfalen,0
2020-02-23,Rheinland-Pfalz,0
2020-02-23,Saarland,0
2020-02-23,Sachsen,0
2020-02-23,Sachsen-Anhalt,0
2020-02-23,Schleswig-Holstein,0
2020-02-23,Thüringen,0
2020-03-01,Baden-Württemberg,0
2020-03-01,Bayern,0
2020-03-01,Berlin,0
2020-03-01,Brandenburg,0
2020-03-01,Bremen,0
2020-03-01,Hamburg,0
2020-03-01,Hessen,0
2020-03-01,Mecklenburg-Vorpommern,0
2020-03-01,Niedersachsen,0
2020-03-01,Nordrhein-Westfalen,0
2020-03-01,Rheinland-Pfalz,0
2020-03-01,Saarland,0
2020-03-01,Sachsen,0
2020-03-01,Sachsen-Anhalt,0
2020-03-01,Schleswig-Holstein,0
2020-03-01,Thüringen,0
2020-03-08,Baden-Württemberg,0
2020-03-08,Bayern,0
2020-03-08,Berlin,1
2020-03-08,Brandenburg,0
2020-03-08,Bremen,0
2020-03-08,Hamburg,0
2020-03-08,Hessen,0
2020-03-08,Mecklenburg-Vorpommern,0
2020-03-08,Niedersachsen,0
2020-03-08,Nordrhein-Westfalen,0
2020-03-08,Rheinland-Pfalz,0
2020-03-08,Saarland,0
2020-03-08,Sachsen,0
2020-03-08,Sachsen-Anhalt,0
2020-03-08,Schleswig-Holstein,0
2020-03-08,Thüringen,0
2020-03-15,Baden-Württemberg,0
2020-03-15,Bayern,0
2020-03-15,Berlin,0
2020-03-15,Brandenburg,0
2020-03-15,Bremen,0
2020-03-15,Hamburg,0
2020-03-15,Hessen,0
2020-03-15,Mecklenburg-Vorpommern,0
2020-03-15,Niedersachsen,0
2020-03-15,Nordrhein-Westfalen,0
2020-03-15,Rheinland-Pfalz,0
2020-03-15,Saarland,0
2020-03-15,Sachsen,0
2020-03-15,Sachsen-Anhalt,0
2020-03-15,Schleswig-Holstein,0
2020-03-15,Thüringen,0
2020-03-22,Baden-Württemberg,0
2020-03-22,Bayern,0
2020-03-22,Berlin,0
2020-03-22,Brandenburg,0
2020-03-22,Bremen,0
2020-03-22,Hamburg,0
2020-03-22,Hessen,0
2020-03-22,Mecklenburg-Vorpommern,0
2020-03-22,Niedersachsen,0
2020-03-22,Nordrhein-Westfalen,0
2020-03-22,Rheinland-Pfalz,0
2020-03-22,Saarland,0
2020-03-22,Sachsen,0
2020-03-22,Sachsen-Anhalt,0
2020-03-22,Schleswig-Holstein,0
2020-03-22,Thüringen,0
2020-03-29,Baden-Württemberg,0
2020-03-29,Bayern,0
2020-03-29,Berlin,0
2020-03-29,Brandenburg,0
2020-03-29,Bremen,0
2020-03-29,Hamburg,0
2020-03-29,Hessen,0
2020-03-29,Mecklenburg-Vorpommern,0
2020-03-29,Niedersachsen,0
2020-03-29,Nordrhein-Westfalen,0
2020-03-29,Rheinland-Pfalz,0
2020-03-29,Saarland,0
2020-03-29,Sachsen,0
2020-03-29,Sachsen-Anhalt,0
2020-03-29,Schleswig-Holstein,0
2020-03-29,Thüringen,0
2020-04-05,Baden-Württemberg,0
2020-04-05,Bayern,0
2020-04-05,Berlin,0
2020-04-05,Brandenburg,0
2020-04-05,Bremen,0
2020-04-05,Hamburg,0
2020-04-05,Hessen,0
2020-04-05,Mecklenburg-Vorpommern,0
2020-04-05,Niedersachsen,0
2020-04-05,Nordrhein-Westfalen,0
2020-04-05,Rheinland-Pfalz,0
2020-04-05,Saarland,0
2020-04-05,Sachsen,0
2020-04-05,Sachsen-Anhalt,0
2020-04-05,Schleswig-Holstein,0
2020-04-05,Thüringen,0
2020-04-12,Baden-Württemberg,1
2020-04-12,Bayern,1
2020-04-12,Berlin,1
2020-04-12,Brandenburg,2
2020-04-12,Bremen,1
2020-04-12,Hamburg,1
2020-04-12,Hessen,1
2020-04-12,Mecklenburg-Vorpommern,1
2020-04-12,Niedersachsen,1
2020-04-12,Nordrhein-Westfalen,1
2020-04-12,Rheinland-Pfalz,1
2020-04-12,Saarland,1
2020-04-12,Sachsen,1
2020-04-12,Sachsen-Anhalt,1
2020-04-12,Schleswig-Holstein,1
2020-04-12,Thüringen,1
2020-04-19,Baden-Württemberg,1
2020-04-19,Bayern,1
2020-04-19,Berlin,1
2020-04-19,Brandenburg,1
2020-04-19,Bremen,1
2020-04-19,Hamburg,1
2020-04-19,Hessen,1
2020-04-19,Mecklenburg-Vorpommern,1
2020-04-19,Niedersachsen,1
2020-04-19,Nordrhein-Westfalen,1
2020-04-19,Rheinland-Pfalz,1
2020-04-19,Saarland,1
2020-04-19,Sachsen,1
2020-04-19,Sachsen-Anhalt,1
2020-04-19,Schleswig-Holstein,1
2020-04-19,Thüringen,1
2020-04-26,Baden-Württemberg,0
2020-04-26,Bayern,0
2020-04-26,Berlin,0
2020-04-26,Brandenburg,0
2020-04-26,Bremen,0
2020-04-26,Hamburg,0
2020-04-26,Hessen,0
2020-04-26,Mecklenburg-Vorpommern,0
2020-04-26,Niedersachsen,0
2020-04-26,Nordrhein-Westfalen,0
2020-04-26,Rheinland-Pfalz,0
2020-04-26,Saarland,0
2020-04-26,Sachsen,0
2020-04-26,Sachsen-Anhalt,0
2020-04-26,Schleswig-Holstein,0
2020-04-26,Thüringen,0
2020-05-03,Baden-Württemberg,1
2020-05-03,Bayern,1
2020-05-03,Berlin,1
2020-05-03,Brandenburg,1
2020-05-03,Bremen,1
2020-05-03,Hamburg,1
2020-05-03,Hessen,1
2020-05-03,Mecklenburg-Vorpommern,1
2020-05-03,Niedersachsen,1
2020-05-03,Nordrhein-Westfalen,1
2020-05-03,Rheinland-Pfalz,1
2020-05-03,Saarland,1
2020-05-03,Sachsen,1
2020-05-03,Sachsen-Anhalt,1
2020-05-03,Schleswig-Holstein,1
2020-05-03,Thüringen,1
2020-05-10,Baden-Württemberg,0
2020-05-10,Bayern,0
2020-05-10,Berlin,1
2020-05-10,Brandenburg,0
2020-05-10,Bremen,0
2020-05-10,Hamburg,0
2020-05-10,Hessen,0
2020-05-10,Mecklenburg-Vorpommern,0
2020-05-10,Niedersachsen,0
2020-05-10,Nordrhein-Westfalen,0
2020-05-10,Rheinland-Pfalz,0
2020-05-10,Saarland,0
2020-05-10,Sachsen,0
2020-05-10,Sachsen-Anhalt,0
2020-05-10,Schleswig-Holstein,0
2020-05-10,Thüringen,0
2020-05-17,Baden-Württemberg,0
2020-05-17,Bayern,0
2020-05-17,Berlin,0
2020-05-17,Brandenburg,0
2020-05-17,Bremen,0
2020-05-17,Hamburg,0
2020-05-17,Hessen,0
2020-05-17,Mecklenburg-Vorpommern,0
2020-05-17,Niedersachsen,0
2020-05-17,Nordrhein-Westfalen,0
2020-05-17,Rheinland-Pfalz,0
2020-05-17,Saarland,0
2020-05-17,Sachsen,0
2020-05-17,Sachsen-Anhalt,0
2020-05-17,Schleswig-Holstein,0
2020-05-17,Thüringen,0
2020-05-24,Baden-Württemberg,1
2020-05-24,Bayern,1
2020-05-24,Berlin,1
2020-05-24,Brandenburg,1
2020-05-24,Bremen,1
2020-05-24,Hamburg,1
2020-05-24,Hessen,1
2020-05-24,Mecklenburg-Vorpommern,1
2020-05-24,Niedersachsen,1
2020-05-24,Nordrhein-Westfalen,1
2020-05-24,Rheinland-Pfalz,1
2020-05-24,Saarland,1
2020-05-24,Sachsen,1
2020-05-24,Sachsen-Anhalt,1
2020-05-24,Schleswig-Holstein,1
2020-05-24,Thüringen,1
2020-05-31,Baden-Württemberg,0
2020-05-31,Bayern,0
2020-05-31,Berlin,0
2020-05-31,Brandenburg,1
2020-05-31,Bremen,0
2020-05-31,Hamburg,0
2020-05-31,Hessen,0
2020-05-31,Mecklenburg-Vorpommern,0
2020-05-31,Niedersachsen,0
2020-05-31,Nordrhein-Westfalen,0
2020-05-31,Rheinland-Pfalz,0
2020-05-31,Saarland,0
2020-05-31,Sachsen,0
2020-05-31,Sachsen-Anhalt,0
2020-05-31,Schleswig-Holstein,0
2020-05-31,Thüringen,0
2020-06-07,Baden-Württemberg,1
2020-06-07,Bayern,1
2020-06-07,Berlin,1
2020-06-07,Brandenburg,1
2020-06-07,Bremen,1
2020-06-07,Hamburg,1
2020-06-07,Hessen,1
2020-06-07,Mecklenburg-Vorpommern,1
2020-06-07,Niedersachsen,1
2020-06-07,Nordrhein-Westfalen,1
2020-06-07,Rheinland-Pfalz,1
2020-06-07,Saarland,1
2020-06-07,Sachsen,1
2020-06-07,Sachsen-Anhalt,1
2020-06-07,Schleswig-Holstein,1
2020-06-07,Thüringen,1
2020-06-14,Baden-Württemberg,1
2020-06-14,Bayern,1
2020-06-14,Berlin,0
2020-06-14,Brandenburg,0
2020-06-14,Bremen,0
2020-06-14,Hamburg,0
2020-06-14,Hessen,1
2020-06-14,Mecklenburg-Vorpommern,0
2020-06-14,Niedersachsen,0
2020-06-14,Nordrhein-Westfalen,1
2020-06-14,Rheinland-Pfalz,1
2020-06-14,Saarland,1
2020-06-14,Sachsen,0
2020-06-14,Sachsen-Anhalt,0
2020-06-14,Schleswig-Holstein,0
2020-06-14,Thüringen,0
2020-06-21,Baden-Württemberg,0
2020-06-21,Bayern,0
2020-06-21,Berlin,0
2020-06-21,Brandenburg,0
2020-06-21,Bremen,0
2020-06-21,Hamburg,0
2020-06-21,Hessen,0
2020-06-21,Mecklenburg-Vorpommern,0
2020-06-21,Niedersachsen,0
2020-06-21,Nordrhein-Westfalen,0
2020-06-21,Rheinland-Pfalz,0
2020-06-21,Saarland,0
2020-06-21,Sachsen,0
2020-06-21,Sachsen-Anhalt,0
2020-06-21,Schleswig-Holstein,0
2020-06-21,Thüringen,0
2020-06-28,Baden-Württemberg,0
2020-06-28,Bayern,0
2020-06-28,Berlin,0
2020-06-28,Brandenburg,0
2020-06-28,Bremen,0
2020-06-28,Hamburg,0
2020-06-28,Hessen,0
2020-06-28,Mecklenburg-Vorpommern,0
2020-06-28,Niedersachsen,0
2020-06-28,Nordrhein-Westfalen,0
2020-06-28,Rheinland-Pfalz,0
2020-06-28,Saarland,0
2020-06-28,Sachsen,0
2020-06-28,Sachsen-Anhalt,0
2020-06-28,Schleswig-Holstein,0
2020-06-28,Thüringen,0
2020-07-05,Baden-Württemberg,0
2020-07-05,Bayern,0
2020-07-05,Berlin,0
2020-07-05,Brandenburg,0
2020-07-05,Bremen,0
2020-07-05,Hamburg,0
2020-07-05,Hessen,0
2020-07-05,Mecklenburg-Vorpommern,0
2020-07-05,Niedersachsen,0
2020-07-05,Nordrhein-Westfalen,0
2020-07-05,Rheinland-Pfalz,0
2020-07-05,Saarland,0
2020-07-05,Sachsen,0
2020-07-05,Sachsen-Anhalt,0
2020-07-05,Schleswig-Holstein,0
2020-07-05,Thüringen,0
2020-07-12,Baden-Württemberg,0
2020-07-12,Bayern,0
2020-07-12,Berlin,0
2020-07-12,Brandenburg,0
2020-07-12,Bremen,0
2020-07-12,Hamburg,0
2020-07-12,Hessen,0
2020-07-12,Mecklenburg-Vorpommern,0
2020-07-12,Niedersachsen,0
2020-07-12,Nordrhein-Westfalen,0
2020-07-12,Rheinland-Pfalz,0
2020-07-12,Saarland,0
2020-07-12,Sachsen,0
2020-07-12,Sachsen-Anhalt,0
2020-07-12,Schleswig-Holstein,0
2020-07-12,Thüringen,0
2020-07-19,Baden-Württemberg,0
2020-07-19,Bayern,0
2020-07-19,Berlin,0
2020-07-19,Brandenburg,0
2020-07-19,Bremen,0
2020-07-19,Hamburg,0
2020-07-19,Hessen,0
2020-07-19,Mecklenburg-Vorpommern,0
2020-07-19,Niedersachsen,0
2020-07-19,Nordrhein-Westfalen,0
2020-07-19,Rheinland-Pfalz,0
2020-07-19,Saarland,0
2020-07-19,Sachsen,0
2020-07-19,Sachsen-Anhalt,0
2020-07-19,Schleswig-Holstein,0
2020-07-19,Thüringen,0
2020-07-26,Baden-Württemberg,0
2020-07-26,Bayern,0
2020-07-26,Berlin,0
2020-07-26,Brandenburg,0
2020-07-26,Bremen,0
2020-07-26,Hamburg,0
2020-07-26,Hessen,0
2020-07-26,Mecklenburg-Vorpommern,0
2020-07-26,Niedersachsen,0
2020-07-26,Nordrhein-Westfalen,0
2020-07-26,Rheinland-Pfalz,0
2020-07-26,Saarland,0
2020-07-26,Sachsen,0
2020-07-26,Sachsen-Anhalt,0
2020-07-26,Schleswig-Holstein,0
2020-07-26,Thüringen,0
2020-08-02,Baden-Württemberg,0
2020-08-02,Bayern,0
2020-08-02,Berlin,0
2020-08-02,Brandenburg,0
2020-08-02,Bremen,0
2020-08-02,Hamburg,0
2020-08-02,Hessen,0
2020-08-02,Mecklenburg-Vorpommern,0
2020-08-02,Niedersachsen,0
2020-08-02,Nordrhein-Westfalen,0
2020-08-02,Rheinland-Pfalz,0
2020-08-02,Saarland,0
2020-08-02,Sachsen,0
2020-08-02,Sachsen-Anhalt,0
2020-08-02,Schleswig-Holstein,0
2020-08-02,Thüringen,0
2020-08-09,Baden-Württemberg,0
2020-08-09,Bayern,1
2020-08-09,Berlin,0
2020-08-09,Brandenburg,0
2020-08-09,Bremen,0
2020-08-09,Hamburg,0
2020-08-09,Hessen,0
2020-08-09,Mecklenburg-Vorpommern,0
2020-08-09,Niedersachsen,0
2020-08-09,Nordrhein-Westfalen,0
2020-08-09,Rheinland-Pfalz,0
2020-08-09,Saarland,0
2020-08-09,Sachsen,0
2020-08-09,Sachsen-Anhalt,0
2020-08-09,Schleswig-Holstein,0
2020-08-09,Thüringen,0
2020-08-16,Baden-Württemberg,0
2020-08-16,Bayern,1
2020-08-16,Berlin,0
2020-08-16,Brandenburg,0
2020-08-16,Bremen,0
2020-08-16,Hamburg,0
2020-08-16,Hessen,0
2020-08-16,Mecklenburg-Vorpommern,0
2020-08-16,Niedersachsen,0
2020-08-16,Nordrhein-Westfalen,0
2020-08-16,Rheinland-Pfalz,0
2020-08-16,Saarland,1
2020-08-16,Sachsen,0
2020-08-16,Sachsen-Anhalt,0
2020-08-16,Schleswig-Holstein,0
2020-08-16,Thüringen,0
2020-08-23,Baden-Württemberg,0
2020-08-23,Bayern,0
2020-08-23,Berlin,0
2020-08-23,Brandenburg,0
2020-08-23,Bremen,0
2020-08-23,Hamburg,0
2020-08-23,Hessen,0
2020-08-23,Mecklenburg-Vorpommern,0
2020-08-23,Niedersachsen,0
2020-08-23,Nordrhein-Westfalen,0
2020-08-23,Rheinland-Pfalz,0
2020-08-23,Saarland,0
2020-08-23,Sachsen,0
2020-08-23,Sachsen-Anhalt,0
2020-08-23,Schleswig-Holstein,0
2020-08-23,Thüringen,0
2020-08-30,Baden-Württemberg,0
2020-08-30,Bayern,0
2020-08-30,Berlin,0
2020-08-30,Brandenburg,0
2020-08-30,Bremen,0
2020-08-30,Hamburg,0
2020-08-30,Hessen,0
2020-08-30,Mecklenburg-Vorpommern,0
2020-08-30,Niedersachsen,0
2020-08-30,Nordrhein-Westfalen,0
2020-08-30,Rheinland-Pfalz,0
2020-08-30,Saarland,0
2020-08-30,Sachsen,0
2020-08-30,Sachsen-Anhalt,0
2020-08-30,Schleswig-Holstein,0
2020-08-30,Thüringen,0
2020-09-06,Baden-Württemberg,0
2020-09-06,Bayern,0
2020-09-06,Berlin,0
2020-09-06,Brandenburg,0
2020-09-06,Bremen,0
2020-09-06,Hamburg,0
2020-09-06,Hessen,0
2020-09-06,Mecklenburg-Vorpommern,0
2020-09-06,Niedersachsen,0
2020-09-06,Nordrhein-Westfalen,0
2020-09-06,Rheinland-Pfalz,0
2020-09-06,Saarland,0
2020-09-06,Sachsen,0
2020-09-06,Sachsen-Anhalt,0
2020-09-06,Schleswig-Holstein,0
2020-09-06,Thüringen,0
2020-09-13,Baden-Württemberg,0
2020-09-13,Bayern,0
2020-09-13,Berlin,0
2020-09-13,Brandenburg,0
2020-09-13,Bremen,0
2020-09-13,Hamburg,0
2020-09-13,Hessen,0
2020-09-13,Mecklenburg-Vorpommern,0
2020-09-13,Niedersachsen,0
2020-09-13,Nordrhein-Westfalen,0
2020-09-13,Rheinland-Pfalz,0
2020-09-13,Saarland,0
2020-09-13,Sachsen,0
2020-09-13,Sachsen-Anhalt,0
2020-09-13,Schleswig-Holstein,0
2020-09-13,Thüringen,0
2020-09-20,Baden-Württemberg,0
2020-09-20,Bayern,0
2020-09-20,Berlin,0
2020-09-20,Brandenburg,0
2020-09-20,Bremen,0
2020-09-20,Hamburg,0
2020-09-20,Hessen,0
2020-09-20,Mecklenburg-Vorpommern,0
2020-09-20,Niedersachsen,0
2020-09-20,Nordrhein-Westfalen,0
2020-09-20,Rheinland-Pfalz,0
2020-09-20,Saarland,0
2020-09-20,Sachsen,0
2020-09-20,Sachsen-Anhalt,0
2020-09-20,Schleswig-Holstein,0
2020-09-20,Thüringen,1
2020-09-27,Baden-Württemberg,0
2020-09-27,Bayern,0
2020-09-27,Berlin,0
2020-09-27,Brandenburg,0
2020-09-27,Bremen,0
2020-09-27,Hamburg,0
2020-09-27,Hessen,0
2020-09-27,Mecklenburg-Vorpommern,0
2020-09-27,Niedersachsen,0
2020-09-27,Nordrhein-Westfalen,0
2020-09-27,Rheinland-Pfalz,0
2020-09-27,Saarland,0
2020-09-27,Sachsen,0
2020-09-27,Sachsen-Anhalt,0
2020-09-27,Schleswig-Holstein,0
2020-09-27,Thüringen,0
2020-10-04,Baden-Württemberg,1
2020-10-04,Bayern,1
2020-10-04,Berlin,1
2020-10-04,Brandenburg,1
2020-10-04,Bremen,1
2020-10-04,Hamburg,1
2020-10-04,Hessen,1
2020-10-04,Mecklenburg-Vorpommern,1
2020-10-04,Niedersachsen,1
2020-10-04,Nordrhein-Westfalen,1
2020-10-04,Rheinland-Pfalz,1
2020-10-04,Saarland,1
2020-10-04,Sachsen,1
2020-10-04,Sachsen-Anhalt,1
2020-10-04,Schleswig-Holstein,1
2020-10-04,Thüringen,1
2020-10-11,Baden-Württemberg,0
2020-10-11,Bayern,0
2020-10-11,Berlin,0
2020-10-11,Brandenburg,0
2020-10-11,Bremen,0
2020-10-11,Hamburg,0
2020-10-11,Hessen,0
2020-10-11,Mecklenburg-Vorpommern,0
2020-10-11,Niedersachsen,0
2020-10-11,Nordrhein-Westfalen,0
2020-10-11,Rheinland-Pfalz,0
2020-10-11,Saarland,0
2020-10-11,Sachsen,0
2020-10-11,Sachsen-Anhalt,0
2020-10-11,Schleswig-Holstein,0
2020-10-11,Thüringen,0
2020-10-18,Baden-Württemberg,0
2020-10-18,Bayern,0
2020-10-18,Berlin,0
2020-10-18,Brandenburg,0
2020-10-18,Bremen,0
2020-10-18,Hamburg,0
2020-10-18,Hessen,0
2020-10-18,Mecklenburg-Vorpommern,0
2020-10-18,Niedersachsen,0
2020-10-18,Nordrhein-Westfalen,0
2020-10-18,Rheinland-Pfalz,0
2020-10-18,Saarland,0
2020-10-18,Sachsen,0
2020-10-18,Sachsen-Anhalt,0
2020-10-18,Schleswig-Holstein,0
2020-10-18,Thüringen,0
2020-10-25,Baden-Württemberg,0
2020-10-25,Bayern,0
2020-10-25,Berlin,0
2020-10-25,Brandenburg,0
2020-10-25,Bremen,0
2020-10-25,Hamburg,0
2020-10-25,Hessen,0
2020-10-25,Mecklenburg-Vorpommern,0
2020-10-25,Niedersachsen,0
2020-10-25,Nordrhein-Westfalen,0
2020-10-25,Rheinland-Pfalz,0
2020-10-25,Saarland,0
2020-10-25,Sachsen,0
2020-10-25,Sachsen-Anhalt,0
2020-10-25,Schleswig-Holstein,0
2020-10-25,Thüringen,0
2020-11-01,Baden-Württemberg,1
2020-11-01,Bayern,1
2020-11-01,Berlin,0
2020-11-01,Brandenburg,1
2020-11-01,Bremen,1
2020-11-01,Hamburg,1
2020-11-01,Hessen,0
2020-11-01,Mecklenburg-Vorpommern,1
2020-11-01,Niedersachsen,1
2020-11-01,Nordrhein-Westfalen,1
2020-11-01,Rheinland-Pfalz,1
2020-11-01,Saarland,1
2020-11-01,Sachsen,1
2020-11-01,Sachsen-Anhalt,1
2020-11-01,Schleswig-Holstein,1
2020-11-01,Thüringen,1
2020-11-08,Baden-Württemberg,0
2020-11-08,Bayern,0
2020-11-08,Berlin,0
2020-11-08,Brandenburg,0
2020-11-08,Bremen,0
2020-11-08,Hamburg,0
2020-11-08,Hessen,0
2020-11-08,Mecklenburg-Vorpommern,0
2020-11-08,Niedersachsen,0
2020-11-08,Nordrhein-Westfalen,0
2020-11-08,Rheinland-Pfalz,0
2020-11-08,Saarland,0
2020-11-08,Sachsen,0
2020-11-08,Sachsen-Anhalt,0
2020-11-08,Schleswig-Holstein,0
2020-11-08,Thüringen,0
2020-11-15,Baden-Württemberg,0
2020-11-15,Bayern,0
2020-11-15,Berlin,0
2020-11-15,Brandenburg,0
2020-11-15,Bremen,0
2020-11-15,Hamburg,0
2020-11-15,Hessen,0
2020-11-15,Mecklenburg-Vorpommern,0
2020-11-15,Niedersachsen,0
2020-11-15,Nordrhein-Westfalen,0
2020-11-15,Rheinland-Pfalz,0
2020-11-15,Saarland,0
2020-11-15,Sachsen,0
2020-11-15,Sachsen-Anhalt,0
2020-11-15,Schleswig-Holstein,0
2020-11-15,Thüringen,0
2020-11-22,Baden-Württemberg,0
2020-11-22,Bayern,0
2020-11-22,Berlin,0
2020-11-22,Brandenburg,0
2020-11-22,Bremen,0
2020-11-22,Hamburg,0
2020-11-22,Hessen,0
2020-11-22,Mecklenburg-Vorpommern,0
2020-11-22,Niedersachsen,0
2020-11-22,Nordrhein-Westfalen,0
2020-11-22,Rheinland-Pfalz,0
2020-11-22,Saarland,0
2020-11-22,Sachsen,1
2020-11-22,Sachsen-Anhalt,0
2020-11-22,Schleswig-Holstein,0
2020-11-22,Thüringen,0
2020-11-29,Baden-Württemberg,0
2020-11-29,Bayern,0
2020-11-29,Berlin,0
2020-11-29,Brandenburg,0
2020-11-29,Bremen,0
2020-11-29,Hamburg,0
2020-11-29,Hessen,0
2020-11-29,Mecklenburg-Vorpommern,0
2020-11-29,Niedersachsen,0
2020-11-29,Nordrhein-Westfalen,0
2020-11-29,Rheinland-Pfalz,0
2020-11-29,Saarland,0
2020-11-29,Sachsen,0
2020-11-29,Sachsen-Anhalt,0
2020-11-29,Schleswig-Holstein,0
2020-11-29,Thüringen,0
2020-12-06,Baden-Württemberg,0
2020-12-06,Bayern,0
2020-12-06,Berlin,0
2020-12-06,Brandenburg,0
2020-12-06,Bremen,0
2020-12-06,Hamburg,0
2020-12-06,Hessen,0
2020-12-06,Mecklenburg-Vorpommern,0
2020-12-06,Niedersachsen,0
2020-12-06,Nordrhein-Westfalen,0
2020-12-06,Rheinland-Pfalz,0
2020-12-06,Saarland,0
2020-12-06,Sachsen,0
2020-12-06,Sachsen-Anhalt,0
2020-12-06,Schleswig-Holstein,0
2020-12-06,Thüringen,0
2020-12-13,Baden-Württemberg,0
2020-12-13,Bayern,0
2020-12-13,Berlin,0
2020-12-13,Brandenburg,0
2020-12-13,Bremen,0
2020-12-13,Hamburg,0
2020-12-13,Hessen,0
2020-12-13,Mecklenburg-Vorpommern,0
2020-12-13,Niedersachsen,0
2020-12-13,Nordrhein-Westfalen,0
2020-12-13,Rheinland-Pfalz,0
2020-12-13,Saarland,0
2020-12-13,Sachsen,0
2020-12-13,Sachsen-Anhalt,0
2020-12-13,Schleswig-Holstein,0
2020-12-13,Thüringen,0
2020-12-20,Baden-Württemberg,0
2020-12-20,Bayern,0
2020-12-20,Berlin,0
2020-12-20,Brandenburg,0
2020-12-20,Bremen,0
2020-12-20,Hamburg,0
2020-12-20,Hessen,0
2020-12-20,Mecklenburg-Vorpommern,0
2020-12-20,Niedersachsen,0
2020-12-20,Nordrhein-Westfalen,0
2020-12-20,Rheinland-Pfalz,0
2020-12-20,Saarland,0
2020-12-20,Sachsen,0
